st2,stplc2,popden90,pov12590,Time1,Time2,Time3,Time4,cpden90,cpv12590,State,Poverty
36,3612683,0.666871369,21.2491188,4.538861752,4.788757324,4.865289211,6.077794552,-0.222876631,7.093913305,0,0
36,3613002,0.808899641,20.3028965,6.339026451,6.217394829,6.488767624,6.863536835,-0.080848359,6.147691,0,0
36,3613079,0.754144847,19.22619057,4.988884449,5.371853828,5.614974022,5.573638439,-0.135603153,5.070985067,0,0
36,3613145,0.738276482,8.649398804,5.705860138,5.414190769,5.136050224,5.864555359,-0.151471518,-5.505806696,0,0
36,3613585,0.334199995,12.4471302,5.058354378,4.857208252,4.314218521,3.972374201,-0.555548005,-1.708075297,0,0
36,3615011,1.29822588,7.760034084,5.895841599,5.872376442,5.935682297,6.003727913,0.40847788,-6.395171416,0,0
36,3615297,0.596933186,5.876951218,5.969274521,5.98484993,6.18184185,6.284246922,-0.292814814,-8.278254282,0,0
36,3615308,0.139929444,4.162946224,5.131027222,5.572009563,5.192551613,5.396999359,-0.749818556,-9.992259276,0,0
36,3615561,0.752862573,9.406908989,4.961240768,5.550534725,5.622405529,5.153017521,-0.136885427,-4.748296511,0,0
36,3615704,0.203723922,5.652293682,4.766366005,4.573892593,4.868266582,4.843500614,-0.686024078,-8.502911818,0,0
36,3615968,0.792261004,4.390369415,5.588275909,5.636487961,5.664776802,5.690749645,-0.097486996,-9.764836085,0,0
36,3616067,0.480522186,5.795295715,4.504416466,4.569264889,4.661128044,4.978039742,-0.409225814,-8.359909785,0,0
36,3616375,0.617897749,7.142857075,4.118554115,4.740786552,5.148165703,5.368700981,-0.271850251,-7.012348425,0,0
36,3616573,0.420418859,18.35128403,4.287088394,4.833721161,5.570478439,6.026817322,-0.469329141,4.196078527,0,0
36,3616628,0.65149641,21.54696083,4.93920517,5.35785675,5.839647293,5.322116375,-0.23825159,7.391755331,0,0
36,3616694,0.062777512,9.688581467,4.870112896,4.854342461,5.377105713,5.557505608,-0.826970488,-4.466624033,0,0
36,3616738,0.017124088,13.61256504,4.239068985,3.698088884,4.378773212,4.378773212,-0.872623912,-0.542640459,0,0
36,3616749,1.735788703,17.30039215,5.495085716,5.828145981,5.673519135,6.135006905,0.846040703,3.145186651,0,0
36,3616936,1.270992398,8.587398529,5.257134914,5.458998203,5.114161491,4.971188068,0.381244398,-5.567806971,0,0
36,3617343,0.526524484,5.505926132,5.897423744,5.993638515,6.173718452,6.308485508,-0.363223516,-8.649279368,0,0
36,3618047,0.545545518,8.454810143,5.739734173,4.253482819,5.989182472,5.505241871,-0.344202482,-5.700395357,0,0
36,3618212,0.99710983,18.0232563,5.780879498,5.892089367,6.126547813,5.62214613,0.10736183,3.868050802,0,0
36,3618300,0.162304565,5.443692207,4.831139088,4.900926113,5.299799919,4.900926113,-0.727443435,-8.711513293,0,0
36,3618333,0.612111628,4.170708179,3.846771002,4.046962261,4.873207092,5.677973747,-0.277636372,-9.984497321,0,0
36,3618388,1.951798916,25.04351997,6.373097897,6.439703941,6.649751663,6.8493433,1.062050916,10.88831447,0,0
36,3618410,0.363677949,4.002446175,4.94460535,5.193044662,5.164139748,4.947385788,-0.526070051,-10.15275933,0,0
36,3618718,0.495646,13.44839954,6.459892273,6.404366493,6.596933365,6.971633434,-0.394102,-0.706805956,0,0
36,3618916,0.061547644,11.44247341,5.414808273,5.252230644,6.417486191,6.177619934,-0.828200356,-2.712732088,0,0
36,3619213,0.570429981,1.99706316,4.207911491,5.042372227,5.169771194,5.172704697,-0.319318019,-12.15814234,0,0
36,3619367,0.037953395,16.78528976,5.52874279,5.763077736,4.933072567,5.975327015,-0.851794605,2.630084264,0,0
36,3619664,0.832279563,15.37213516,6.348114967,6.326979637,6.277843475,6.793028831,-0.057468437,1.216929662,0,0
36,3620313,1.346719503,7.797436714,5.371240616,5.573145866,5.8131423,6.077032089,0.456971503,-6.357768786,0,0
36,3620346,0.594960034,23.17641068,3.995661497,3.995661497,4.337615013,5.081934452,-0.294787966,9.021205175,0,0
36,3620478,0.286316901,8.435622215,5.787724495,5.988353729,6.038136959,5.899353981,-0.603431099,-5.719583285,0,0
36,3620698,1.574030042,4.962455273,4.885811806,5.29968071,5.270130157,5.686299801,0.684282042,-9.192750227,0,0
36,3620951,0.443617761,12.18997383,5.698674202,5.607848167,6.030252457,6.470058441,-0.446130239,-1.965231669,0,0
36,3621105,1.192075014,24.45292282,6.401313782,6.479313374,6.734008312,6.540802002,0.302327014,10.29771732,0,0
36,3621523,0.314346731,11.44114399,5.650700092,4.140638351,4.684611797,4.140638351,-0.575401269,-2.71406151,0,0
36,3621820,2.424554348,5.32252264,4.920004368,5.19308567,5.011638641,5.395088673,1.534806348,-8.83268286,0,0
36,3621996,0.149938941,3.975493431,4.446551323,4.946259499,4.979447842,5.312680244,-0.739809059,-10.17971207,0,0
36,3622117,0.225935385,4.58616972,5.191734314,5.653359413,5.651043892,5.511675835,-0.663812615,-9.56903578,0,0
36,3622183,0.1137987,6.425992966,6.474349976,6.474259377,7.463803768,8.023587227,-0.7759493,-7.729212534,0,0
36,3622194,0.084384188,6.953351021,5.442872047,5.667924404,5.907691956,6.524174213,-0.805363812,-7.201854479,0,0
36,3622865,1.976618171,10.65525341,5.627790928,5.981843948,6.508828163,6.617337704,1.086870171,-3.49995209,0,0
36,3623052,0.818961322,14.07898712,6.175667763,6.364861965,6.191179276,7.039460659,-0.070786678,-0.076218378,0,0
36,3623415,0.071900874,7.816155434,5.161616325,5.1954813,5.319578648,4.997875214,-0.817847126,-6.339050066,0,0
36,3624014,0.119263507,12.26283646,5.196709633,5.395024776,5.814882278,6.05910778,-0.770484493,-1.892369044,0,0
36,3624020,0.237499997,11.6054163,7.923153877,9.575165749,6.008025646,5.317334175,-0.652248003,-2.549789202,0,0
36,3624240,0.128290892,5.379403591,3.564589262,3.183109283,3.509174109,3.564589262,-0.761457108,-8.775801909,0,0
36,3624251,1.478128195,17.11587143,5.950295448,5.969435215,6.194886208,5.663481236,0.588380195,2.960665929,0,0
36,3624295,1.510548472,13.5303688,5.576490402,6.054132462,6.183261871,6.066696167,0.620800472,-0.624836695,0,0
36,3624515,1.664944053,14.50033665,6.283652306,6.007815361,6.257026672,6.326807499,0.775196053,0.345131147,0,0
36,3624691,0.091842026,10.60961342,2.500775337,3.152047157,2.500775337,3.543154716,-0.797905974,-3.545592081,0,0
36,3624801,0.16126889,11.57396698,5.416958809,5.564768314,5.693388462,5.900455952,-0.72847911,-2.58123852,0,0
36,3625076,1.456974745,5.184935093,5.448849678,5.181120872,5.750787735,5.305629253,0.567226745,-8.970270407,0,0
36,3625241,0.05691991,22.80409241,5.699168682,5.480424881,5.855182648,5.870490074,-0.83282809,8.648886907,0,0
36,3625967,0.862114549,5.813360691,5.498485088,4.899999619,5.498485088,5.101212502,-0.027633451,-8.341844809,0,0
36,3625978,0.248210996,3.611011744,4.818780899,5.144205093,4.818780899,5.675277233,-0.641537004,-10.54419376,0,0
36,3626264,4.318169594,3.227426767,4.308176041,4.418843746,4.443488598,4.528624058,3.428421594,-10.92777873,0,0
36,3626319,0.509383917,5.307599545,4.889791489,5.091435432,5.168199539,5.254384518,-0.380364083,-8.847605955,0,0
36,3626770,0.77446717,19.12798882,5.916759491,6.084516048,6.050970078,6.437604904,-0.11528083,4.972783315,0,0
36,3626924,0.685390055,27.55323792,4.009506702,5.171991348,5.147258759,6.478274822,-0.204357945,13.39803242,0,0
36,3627188,1.035769224,12.25325871,5.369812012,5.093523979,5.585733891,5.892754555,0.146021224,-1.901946795,0,0
36,3627419,0.776026189,22.91387558,5.371053696,5.583577633,6.059572697,5.763401985,-0.113721811,8.75867008,0,0
36,3627485,3.351592064,10.36728477,5.633792877,5.913556099,5.892335892,6.25526619,2.461844064,-3.787920725,0,0
36,3627529,0.156238824,14.090909,5.386288643,6.279493332,5.731716156,6.481843472,-0.733509176,-0.064296496,0,0
36,3627815,1.327276468,21.97207451,5.938971043,6.10651207,6.26050663,6.449753761,0.437528468,7.816869009,0,0
36,3628178,1.566567898,2.32421875,5.468589306,5.658082962,5.517839432,5.452115059,0.676819898,-11.83098675,0,0
36,3628442,0.724206924,5.360730171,5.454088688,5.510195732,5.893774033,6.025400639,-0.165541076,-8.794475329,0,0
36,3628519,0.737752855,7.860061169,5.763979912,5.999962807,6.096470833,6.331474304,-0.151995145,-6.295144331,0,0
36,3628618,1.080914378,37.680439,5.44830513,5.460612297,5.84565115,5.142971992,0.191166378,23.5252335,0,0
36,3628640,1.283859849,23.74512672,5.873325348,5.863131523,6.388866425,5.666014671,0.394111849,9.589921224,0,0
36,3629113,1.403195858,9.184497833,5.206767082,4.77240181,5.016212463,5.754927158,0.513447858,-4.970707667,0,0
36,3629333,1.505461454,15.20173931,6.062833786,6.37082386,6.400484562,6.737128735,0.615713454,1.046533811,0,0
36,3629366,0.222697824,5.180583477,5.000861168,5.005905151,5.430459499,5.201838017,-0.667050176,-8.974622023,0,0
36,3629443,1.287072062,24.21622849,6.790167332,6.831154823,6.596614838,6.639499664,0.397324062,10.06102299,0,0
36,3629542,0.633056283,6.906971931,5.670321941,5.461924553,5.707231522,5.650734425,-0.256691717,-7.248233569,0,0
36,3629553,0.101079799,6.264408112,3.767228603,4.116680622,3.538793802,3.786706448,-0.788668201,-7.890797388,0,0
36,3629597,0.835723341,30.17829704,5.854778767,5.969099045,6.306624889,6.136788845,-0.054024659,16.02309154,0,0
36,3630026,0.644894004,15.61610413,5.894902229,6.133946419,6.599113464,6.605308056,-0.244853996,1.460898626,0,0
36,3630191,1.42201829,5.48977375,4.507332802,4.961419106,4.167451859,4.993237495,0.53227029,-8.66543175,0,0
36,3630290,0.7340312,5.589874744,5.440587044,5.630064011,5.744719505,5.88222599,-0.1557168,-8.565330756,0,0
36,3630367,1.060438514,5.02177763,5.620614052,5.893331528,5.850504875,5.919949532,0.170690514,-9.13342787,0,0
36,3630411,0.693455815,16.62049866,4.801980019,4.004607677,4.54779911,6.067967892,-0.196292185,2.465293157,0,0
36,3630521,1.371145368,9.5066185,4.335472107,5.364770412,5.71038723,5.384990692,0.481397368,-4.648587,0,0
36,3630565,0.086400196,15.30486298,5.429045677,5.726864815,6.22458744,5.82793045,-0.803347804,1.149657476,0,0
36,3630675,0.509615362,12.13216305,6.024497986,5.799015999,6.067928791,5.54050684,-0.380132638,-2.023042452,0,0
36,3630752,0.603234291,8.765710831,5.467273712,6.475259304,5.822619438,5.644351482,-0.286513709,-5.389494669,0,0
36,3630961,0.58745712,18.69240952,5.605041027,5.504395962,5.528272152,6.365216732,-0.30229088,4.537204015,0,0
36,3631643,1.603993893,6.023750305,5.36731863,5.412317276,5.777314186,5.674077511,0.714245893,-8.131455195,0,0
36,3631654,0.502553225,7.293288231,5.865769863,6.085735798,6.157237053,6.203289509,-0.387194775,-6.861917269,0,0
36,3631709,0.768606782,19.18714523,4.62933588,5.26496315,5.283970833,3.977243662,-0.121141218,5.031939733,0,0
36,3631852,1.02200222,12.01298714,4.942481995,6.199782848,5.945046425,5.977146626,0.13225422,-2.142218363,0,0
